PRISM Time Series Data
Location:  Lat: 39.4452   Lon: -110.7287   Elev: 5515ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2023-01-01 - 2025-11-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Jun-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
2023-02-18,0.00,-3.0,11.7,26.3
2023-02-19,0.00,1.8,16.4,31.0
2023-02-20,0.00,4.5,20.7,36.8
2023-02-21,0.00,14.1,25.9,37.7
2023-02-22,0.04,13.0,25.6,38.2
2023-02-23,0.00,1.5,19.0,36.5
2023-02-24,0.10,-0.1,13.1,26.3
2023-02-25,0.00,10.7,21.2,31.8
2023-02-26,0.00,9.7,23.8,37.8
2023-02-27,0.00,16.9,27.7,38.6
2023-02-28,0.03,22.2,29.6,36.9
2023-03-01,0.04,20.4,26.6,32.8
2023-03-02,0.12,12.7,22.8,32.9
2023-03-03,0.00,12.3,23.4,34.4
2023-03-04,0.00,13.4,24.9,36.3
2023-03-05,0.00,13.9,23.6,33.2
2023-03-06,0.00,13.9,27.7,41.5
2023-03-07,0.00,18.4,29.5,40.6
2023-03-08,0.00,18.5,28.7,39.0
2023-03-09,0.00,16.7,28.0,39.2
2023-03-10,0.08,18.7,30.5,42.2
2023-03-11,0.17,31.5,33.3,35.0
2023-03-12,0.00,27.8,36.7,45.7
2023-03-13,0.06,24.5,33.5,42.4
2023-03-14,0.00,23.6,33.6,43.6
2023-03-15,0.14,28.0,36.9,45.9
2023-03-16,0.18,29.5,36.4,43.4
2023-03-17,0.00,22.0,30.4,38.8
2023-03-18,0.00,18.9,28.1,37.2
2023-03-19,0.00,18.6,30.5,42.4
2023-03-20,0.23,20.1,31.5,42.9
2023-03-21,0.10,25.1,33.0,40.8
2023-03-22,0.27,25.1,32.0,38.8
2023-03-23,0.07,29.5,36.7,44.0
2023-03-24,0.04,28.2,34.6,41.0
2023-03-25,0.02,19.6,29.9,40.3
2023-03-26,0.00,15.2,23.7,32.3
2023-03-27,0.00,14.4,22.4,30.3
2023-03-28,0.00,17.3,27.2,37.1
2023-03-29,0.00,18.2,31.1,43.9
2023-03-30,0.01,28.9,41.8,54.7
2023-03-31,0.05,25.0,32.8,40.5
2023-04-01,0.00,22.9,34.6,46.3
2023-04-02,0.00,23.8,40.9,58.0
2023-04-03,0.00,32.9,47.5,62.1
2023-04-04,0.00,26.5,42.0,57.5
2023-04-05,0.00,21.5,27.4,33.4
2023-04-06,0.00,14.5,25.8,37.1
2023-04-07,0.00,14.1,30.4,46.7
2023-04-08,0.00,20.3,38.8,57.2
2023-04-09,0.00,33.1,47.8,62.5
2023-04-10,0.00,33.1,50.3,67.5
2023-04-11,0.00,33.7,52.9,72.1
2023-04-12,0.00,34.7,56.3,77.8
2023-04-13,0.00,44.1,57.6,71.0
2023-04-14,0.00,34.2,48.3,62.3
2023-04-15,0.00,23.5,36.8,50.2
2023-04-16,0.00,24.8,41.0,57.2
2023-04-17,0.00,27.5,45.9,64.3
2023-04-18,0.00,31.6,51.1,70.5
2023-04-19,0.00,31.1,47.5,63.9
2023-04-20,0.00,17.9,31.1,44.3
2023-04-21,0.00,18.9,32.6,46.4
2023-04-22,0.00,28.9,43.5,58.2
2023-04-23,0.00,27.7,39.7,51.6
2023-04-24,0.00,28.3,44.7,61.1
2023-04-25,0.00,33.2,47.5,61.8
2023-04-26,0.00,30.3,40.5,50.8
2023-04-27,0.00,35.0,50.8,66.5
2023-04-28,0.00,35.8,51.5,67.2
2023-04-29,0.00,32.9,49.9,66.9
2023-04-30,0.00,36.4,56.5,76.6
2023-05-01,0.00,44.2,62.5,80.8
2023-05-02,0.00,46.3,63.2,80.1
2023-05-03,0.00,40.9,56.7,72.6
2023-05-04,0.02,43.0,58.7,74.5
2023-05-05,0.00,41.4,54.7,68.0
2023-05-06,0.00,31.2,45.1,58.9
2023-05-07,0.00,33.9,47.4,60.8
2023-05-08,0.00,36.3,49.1,61.9
2023-05-09,0.00,37.4,54.0,70.6
2023-05-10,0.00,41.0,56.8,72.6
2023-05-11,0.00,43.4,56.7,70.0
2023-05-12,0.00,43.4,55.8,68.2
2023-05-13,0.00,49.0,58.9,68.9
2023-05-14,0.18,48.4,58.8,69.1
2023-05-15,0.18,45.9,55.7,65.5
2023-05-16,0.00,45.6,59.1,72.7
2023-05-17,0.00,46.0,61.4,76.9
2023-05-18,0.00,47.8,62.2,76.7
2023-05-19,0.03,50.4,62.6,74.9
2023-05-20,0.00,47.4,61.5,75.7
2023-05-21,0.00,46.2,60.9,75.6
2023-05-22,0.00,47.2,62.7,78.2
2023-05-23,0.05,46.6,62.3,78.1
2023-05-24,0.13,46.1,60.0,73.8
2023-05-25,0.00,48.7,63.4,78.1
2023-05-26,0.00,51.9,64.3,76.7
2023-05-27,0.00,49.7,62.6,75.5
2023-05-28,0.00,47.3,60.8,74.2
2023-05-29,0.00,47.1,62.1,77.2
2023-05-30,0.00,47.2,63.8,80.5
2023-05-31,0.00,47.0,63.4,79.7
2023-06-01,0.00,51.9,65.7,79.6
2023-06-02,0.00,52.1,63.9,75.8
2023-06-03,0.06,42.5,55.8,69.0
2023-06-04,0.00,43.3,58.7,74.1
2023-06-05,0.00,46.2,61.3,76.4
2023-06-06,0.00,51.2,66.7,82.1
2023-06-07,0.08,50.3,65.4,80.5
2023-06-08,0.00,46.5,61.6,76.7
2023-06-09,0.00,47.2,62.6,78.1
2023-06-10,0.00,48.2,62.6,77.0
2023-06-11,0.00,50.8,64.6,78.5
2023-06-12,0.00,54.1,67.4,80.7
2023-06-13,0.02,46.1,61.3,76.4
2023-06-14,0.00,51.3,61.7,72.1
2023-06-15,0.16,50.0,62.6,75.2
2023-06-16,0.31,42.8,55.3,67.9
2023-06-17,0.00,43.0,56.6,70.2
2023-06-18,0.00,46.7,62.3,77.9
2023-06-19,0.00,53.3,68.1,83.0
2023-06-20,0.00,60.3,73.1,85.9
2023-06-21,0.00,50.2,66.2,82.2
2023-06-22,0.00,50.7,67.0,83.4
2023-06-23,0.00,48.1,66.0,83.9
2023-06-24,0.00,45.0,61.3,77.7
2023-06-25,0.00,45.8,64.3,82.8
2023-06-26,0.00,47.4,67.0,86.6
2023-06-27,0.00,51.5,70.0,88.4
2023-06-28,0.00,50.3,67.4,84.6
2023-06-29,0.00,54.9,69.9,84.8
2023-06-30,0.04,53.8,66.6,79.4
2023-07-01,0.00,54.8,68.5,82.2
2023-07-02,0.00,56.3,72.1,87.9
2023-07-03,0.00,57.8,73.6,89.4
2023-07-04,0.00,59.8,75.1,90.4
2023-07-05,0.00,57.2,73.7,90.1
2023-07-06,0.00,57.6,73.4,89.2
2023-07-07,0.00,58.0,74.1,90.2
2023-07-08,0.00,60.4,74.7,89.0
2023-07-09,0.00,56.8,73.5,90.3
2023-07-10,0.00,59.3,75.6,91.9
2023-07-11,0.00,51.8,70.1,88.4
2023-07-12,0.00,58.0,74.1,90.2
2023-07-13,0.00,61.9,77.1,92.2
2023-07-14,0.00,59.5,75.8,92.1
2023-07-15,0.00,60.6,75.3,90.0
2023-07-16,0.00,55.1,72.6,90.1
2023-07-17,0.00,59.1,78.0,96.8
2023-07-18,0.00,64.6,81.3,98.0
2023-07-19,0.10,60.0,77.2,94.4
2023-07-20,0.10,58.8,74.3,89.8
2023-07-21,0.00,58.8,73.4,87.9
2023-07-22,0.00,60.3,76.4,92.4
2023-07-23,0.00,62.1,78.9,95.7
2023-07-24,0.00,64.9,80.2,95.5
2023-07-25,0.03,63.0,78.0,93.1
2023-07-26,0.04,60.2,75.2,90.2
2023-07-27,0.04,60.3,74.7,89.2
2023-07-28,0.04,58.7,76.2,93.7
2023-07-29,0.00,61.9,79.0,96.1
2023-07-30,0.00,67.5,81.5,95.6
2023-07-31,0.13,66.9,80.7,94.4
2023-08-01,0.13,61.1,73.3,85.4
2023-08-02,0.25,58.0,69.7,81.3
2023-08-03,0.41,56.6,70.5,84.4
2023-08-04,0.04,51.9,68.0,84.1
2023-08-05,0.03,53.3,70.1,86.9
2023-08-06,0.00,56.2,72.8,89.4
2023-08-07,0.00,54.8,72.6,90.4
2023-08-08,0.00,54.9,72.0,89.1
2023-08-09,0.00,51.2,68.5,85.8
2023-08-10,0.01,52.6,70.8,88.9
2023-08-11,0.00,57.3,73.7,90.0
2023-08-12,0.01,56.2,71.7,87.2
2023-08-13,0.00,56.5,72.8,89.1
2023-08-14,0.00,58.3,75.0,91.7
2023-08-15,0.00,60.2,75.7,91.2
2023-08-16,0.12,61.3,76.4,91.5
2023-08-17,0.03,61.8,76.0,90.2
2023-08-18,0.32,57.6,74.5,91.3
2023-08-19,0.30,56.3,70.2,84.0
2023-08-20,0.00,58.4,72.2,86.0
2023-08-21,0.00,59.8,75.6,91.5
2023-08-22,0.12,57.9,70.1,82.4
2023-08-23,0.29,55.9,69.4,82.8
2023-08-24,0.06,58.1,68.1,78.2
2023-08-25,0.07,58.1,66.4,74.6
2023-08-26,0.00,57.7,70.7,83.8
2023-08-27,0.02,56.2,70.7,85.2
2023-08-28,0.00,54.1,71.8,89.5
2023-08-29,0.00,54.7,72.5,90.3
2023-08-30,0.00,54.7,73.0,91.4
2023-08-31,0.00,50.9,71.1,91.3
2023-09-01,0.00,52.7,72.4,92.2
2023-09-02,0.25,58.2,63.4,68.7
2023-09-03,0.02,56.6,67.0,77.3
2023-09-04,0.16,54.2,67.9,81.6
2023-09-05,0.00,44.7,57.2,69.7
2023-09-06,0.00,45.3,62.3,79.4
2023-09-07,0.00,47.6,66.2,84.8
2023-09-08,0.00,48.3,66.9,85.5
2023-09-09,0.00,48.3,68.3,88.2
2023-09-10,0.00,53.3,70.7,88.2
2023-09-11,0.00,49.3,64.3,79.2
2023-09-12,0.00,50.0,65.7,81.3
2023-09-13,0.00,49.9,65.7,81.4
2023-09-14,0.00,49.6,62.0,74.5
2023-09-15,0.00,47.3,60.5,73.7
2023-09-16,0.00,44.8,60.4,76.0
2023-09-17,0.00,45.0,61.9,78.7
2023-09-18,0.00,46.8,63.7,80.7
2023-09-19,0.07,47.0,60.0,73.1
2023-09-20,0.00,45.3,62.6,79.9
2023-09-21,0.00,44.6,61.3,77.9
2023-09-22,0.00,41.6,58.5,75.4
2023-09-23,0.00,36.8,55.1,73.5
2023-09-24,0.00,37.4,55.0,72.6
2023-09-25,0.00,40.2,58.5,76.8
2023-09-26,0.00,42.4,61.0,79.6
2023-09-27,0.00,42.2,62.0,81.8
2023-09-28,0.00,44.1,63.2,82.3
2023-09-29,0.00,43.4,62.6,81.8
2023-09-30,0.00,42.2,61.5,80.9
2023-10-01,0.19,39.1,57.8,76.4
2023-10-02,0.12,43.5,52.9,62.4
2023-10-03,0.07,33.0,47.2,61.4
2023-10-04,0.00,32.8,46.6,60.4
2023-10-05,0.00,34.9,50.9,67.0
2023-10-06,0.00,37.0,54.5,72.0
2023-10-07,0.00,37.2,55.5,73.8
2023-10-08,0.00,37.9,56.6,75.3
2023-10-09,0.00,37.0,57.8,78.6
2023-10-10,0.00,36.6,57.1,77.7
2023-10-11,0.00,43.2,59.1,74.9
2023-10-12,0.02,35.5,48.1,60.6
2023-10-13,0.00,32.9,43.9,55.0
2023-10-14,0.00,28.6,43.8,59.0
2023-10-15,0.00,27.6,45.4,63.2
2023-10-16,0.00,29.8,50.1,70.4
2023-10-17,0.00,33.5,54.0,74.6
2023-10-18,0.00,34.0,54.8,75.7
2023-10-19,0.00,39.3,59.4,79.4
2023-10-20,0.00,36.2,57.6,79.0
2023-10-21,0.00,35.3,56.2,77.2
2023-10-22,0.00,35.7,56.0,76.3
2023-10-23,0.00,35.7,55.4,75.0
2023-10-24,0.00,34.8,53.2,71.6
2023-10-25,0.00,31.2,50.2,69.2
2023-10-26,0.00,30.0,49.3,68.6
2023-10-27,0.00,17.7,35.8,53.9
2023-10-28,0.00,17.8,36.8,55.8
2023-10-29,0.00,27.4,39.2,50.9
2023-10-30,0.00,12.7,27.7,42.6
2023-10-31,0.00,11.5,29.4,47.2
2023-11-01,0.00,14.2,33.7,53.1
2023-11-02,0.00,17.2,35.8,54.3
2023-11-03,0.00,20.1,40.1,60.1
2023-11-04,0.00,26.9,46.3,65.8
2023-11-05,0.00,27.5,46.2,65.0
2023-11-06,0.00,28.2,45.3,62.3
2023-11-07,0.00,31.7,48.5,65.3
2023-11-08,0.00,31.6,48.4,65.1
2023-11-09,0.00,20.0,35.8,51.7
2023-11-10,0.00,16.8,34.0,51.2
2023-11-11,0.00,13.2,32.3,51.4
2023-11-12,0.00,14.5,33.4,52.2
2023-11-13,0.00,16.7,37.1,57.5
2023-11-14,0.00,18.1,35.9,53.7
2023-11-15,0.00,21.7,40.1,58.6
2023-11-16,0.03,24.3,41.6,59.0
2023-11-17,0.00,28.3,43.1,57.9
2023-11-18,0.00,25.9,42.3,58.7
2023-11-19,0.00,25.5,39.5,53.4
2023-11-20,0.00,35.2,42.3,49.3
2023-11-21,0.00,21.0,35.6,50.1
2023-11-22,0.00,17.9,34.6,51.4
2023-11-23,0.00,17.4,34.6,51.9
2023-11-24,0.04,20.5,32.2,43.9
2023-11-25,0.26,20.2,27.5,34.9
2023-11-26,0.00,9.5,22.3,35.0
2023-11-27,0.00,7.1,21.8,36.5
2023-11-28,0.00,7.6,21.2,34.7
2023-11-29,0.00,8.0,23.0,38.0
2023-11-30,0.00,9.6,23.4,37.1
2023-12-01,0.00,21.5,31.6,41.7
2023-12-02,0.00,21.2,30.0,38.7
2023-12-03,0.00,18.1,29.6,41.0
2023-12-04,0.00,22.3,36.5,50.7
2023-12-05,0.00,25.6,40.1,54.7
2023-12-06,0.00,23.0,38.4,53.7
2023-12-07,0.00,21.8,35.8,49.9
2023-12-08,0.00,22.7,35.8,48.8
2023-12-09,0.00,19.4,27.6,35.7
2023-12-10,0.00,12.2,24.7,37.3
2023-12-11,0.00,12.0,24.4,36.9
2023-12-12,0.00,12.1,25.6,39.1
2023-12-13,0.00,18.1,31.9,45.7
2023-12-14,0.00,19.4,35.8,52.3
2023-12-15,0.00,18.0,34.2,50.5
2023-12-16,0.00,16.4,32.0,47.6
2023-12-17,0.00,14.8,30.1,45.5
2023-12-18,0.00,13.3,29.6,46.0
2023-12-19,0.00,18.3,29.6,40.9
2023-12-20,0.00,18.2,31.6,44.9
2023-12-21,0.00,24.0,34.2,44.5
2023-12-22,0.00,24.6,35.3,46.0
2023-12-23,0.08,32.0,38.2,44.3
2023-12-24,0.00,21.8,32.8,43.7
2023-12-25,0.00,7.6,20.8,34.0
2023-12-26,0.00,5.0,20.5,36.0
2023-12-27,0.00,5.4,20.7,36.0
2023-12-28,0.00,8.3,24.1,40.0
2023-12-29,0.00,14.5,28.6,42.7
2023-12-30,0.00,13.7,29.1,44.4
2023-12-31,0.00,14.1,26.3,38.5
2024-01-01,0.00,13.0,29.6,46.1
2024-01-02,0.00,12.4,27.8,43.2
2024-01-03,0.00,11.8,27.8,43.9
2024-01-04,0.00,12.6,24.3,36.0
2024-01-05,0.00,21.9,31.9,41.9
2024-01-06,0.00,17.8,27.6,37.4
2024-01-07,0.09,13.2,23.2,33.2
2024-01-08,0.02,19.3,25.8,32.2
2024-01-09,0.00,6.7,19.0,31.3
2024-01-10,0.01,6.5,16.3,26.1
2024-01-11,0.04,6.8,19.0,31.3
2024-01-12,0.00,2.6,14.8,27.1
2024-01-13,0.00,3.8,18.8,33.9
2024-01-14,0.01,21.1,31.0,40.9
2024-01-15,0.00,21.1,32.8,44.5
2024-01-16,0.00,13.9,27.6,41.4
2024-01-17,0.00,10.6,24.7,38.8
2024-01-18,0.03,19.7,25.2,30.8
2024-01-19,0.00,20.5,31.6,42.8
2024-01-20,0.05,21.5,33.4,45.2
2024-01-21,0.00,22.3,31.1,39.9
2024-01-22,0.12,30.6,33.6,36.5
2024-01-23,0.06,31.5,35.3,39.1
2024-01-24,0.00,30.9,37.6,44.3
2024-01-25,0.00,28.8,38.8,48.7
2024-01-26,0.03,28.1,34.2,40.3
2024-01-27,0.00,20.8,33.4,46.0
2024-01-28,0.00,21.3,34.6,47.8
2024-01-29,0.00,22.0,36.8,51.7
2024-01-30,0.00,24.0,40.9,57.8
2024-01-31,0.00,23.5,39.7,55.9
2024-02-01,0.00,24.3,39.1,53.8
2024-02-02,0.24,29.5,37.5,45.6
2024-02-03,0.28,26.9,32.9,38.8
2024-02-04,0.00,23.2,33.6,44.1
2024-02-05,0.06,19.9,30.2,40.6
2024-02-06,0.00,29.3,34.9,40.5
2024-02-07,0.35,30.2,35.4,40.6
2024-02-08,0.21,28.8,36.5,44.1
2024-02-09,0.02,26.2,32.2,38.1
2024-02-10,0.13,12.4,25.7,39.0
2024-02-11,0.00,11.4,22.9,34.4
2024-02-12,0.00,15.4,26.6,37.7
2024-02-13,0.00,16.3,29.5,42.7
2024-02-14,0.00,19.1,30.7,42.3
2024-02-15,0.00,23.4,35.5,47.7
2024-02-16,0.00,27.0,37.6,48.3
2024-02-17,0.00,25.6,36.5,47.3
2024-02-18,0.00,23.8,33.4,43.0
2024-02-19,0.00,22.4,32.7,43.0
2024-02-20,0.02,21.1,35.3,49.5
2024-02-21,0.16,33.0,38.5,44.0
2024-02-22,0.00,26.9,38.7,50.5
2024-02-23,0.00,23.9,35.9,47.8
2024-02-24,0.00,23.0,37.2,51.4
2024-02-25,0.00,20.5,36.3,52.1
2024-02-26,0.00,22.1,39.9,57.7
2024-02-27,0.00,28.5,44.0,59.6
2024-02-28,0.00,13.8,23.4,33.1
2024-02-29,0.00,13.1,28.2,43.2
2024-03-01,0.00,16.4,33.2,50.0
2024-03-02,0.00,20.0,39.3,58.6
2024-03-03,0.21,22.0,37.5,53.0
2024-03-04,0.24,22.8,31.0,39.2
2024-03-05,0.01,22.9,30.3,37.8
2024-03-06,0.00,23.9,35.9,47.9
2024-03-07,0.01,23.2,37.5,51.7
2024-03-08,0.00,27.0,38.7,50.5
2024-03-09,0.00,20.5,33.3,46.0
2024-03-10,0.00,17.7,34.1,50.5
2024-03-11,0.00,18.7,36.3,54.0
2024-03-12,0.00,27.0,42.3,57.6
2024-03-13,0.05,30.8,42.1,53.4
2024-03-14,0.04,26.5,36.5,46.5
2024-03-15,0.03,27.8,35.6,43.4
2024-03-16,0.03,33.4,40.5,47.5
2024-03-17,0.03,36.0,41.1,46.2
2024-03-18,0.00,32.4,44.5,56.6
2024-03-19,0.00,26.7,43.8,60.8
2024-03-20,0.00,25.9,45.0,64.0
2024-03-21,0.00,27.1,46.1,65.0
2024-03-22,0.00,28.5,46.6,64.7
2024-03-23,0.00,29.0,46.5,63.9
2024-03-24,0.00,29.9,44.2,58.4
2024-03-25,0.00,32.2,40.1,48.1
2024-03-26,0.00,21.2,35.2,49.2
2024-03-27,0.00,20.1,33.6,47.1
2024-03-28,0.00,21.0,36.2,51.4
2024-03-29,0.30,24.7,39.5,54.3
2024-03-30,0.09,31.8,40.6,49.4
2024-03-31,0.00,35.6,43.5,51.4
2024-04-01,0.00,31.4,42.3,53.3
2024-04-02,0.00,29.7,41.1,52.5
2024-04-03,0.00,29.6,45.6,61.6
2024-04-04,0.00,31.8,49.6,67.4
2024-04-05,0.00,34.9,51.5,68.0
2024-04-06,0.00,27.6,44.1,60.5
2024-04-07,0.00,21.6,32.6,43.5
2024-04-08,0.00,22.4,35.3,48.2
2024-04-09,0.00,25.3,39.1,52.9
2024-04-10,0.00,27.9,43.0,58.1
2024-04-11,0.00,32.6,47.7,62.8
2024-04-12,0.00,32.0,50.9,69.9
2024-04-13,0.00,35.8,54.7,73.7
2024-04-14,0.00,36.2,53.7,71.3
2024-04-15,0.00,35.6,51.7,67.9
2024-04-16,0.02,37.8,45.8,53.9
2024-04-17,0.00,38.3,52.4,66.6
2024-04-18,0.00,39.7,54.1,68.5
2024-04-19,0.00,39.2,53.1,67.0
2024-04-20,0.00,38.9,53.1,67.2
2024-04-21,0.00,37.4,53.1,68.9
2024-04-22,0.00,39.6,56.9,74.3
2024-04-23,0.00,43.5,60.4,77.2
2024-04-24,0.00,43.7,61.0,78.3
2024-04-25,0.00,44.3,60.1,75.8
2024-04-26,0.00,43.3,54.7,66.1
2024-04-27,0.20,40.2,48.6,57.0
2024-04-28,0.20,37.3,46.7,56.2
2024-04-29,0.00,35.9,48.3,60.7
2024-04-30,0.00,36.5,51.5,66.4
2024-05-01,0.00,42.2,55.4,68.6
2024-05-02,0.00,28.6,44.0,59.4
2024-05-03,0.00,30.6,47.5,64.4
2024-05-04,0.00,33.1,46.1,59.1
2024-05-05,0.00,36.0,53.7,71.4
2024-05-06,0.00,33.9,50.3,66.8
2024-05-07,0.00,33.8,43.0,52.1
2024-05-08,0.00,28.9,39.5,50.2
2024-05-09,0.00,31.1,42.4,53.6
2024-05-10,0.00,37.7,47.7,57.7
2024-05-11,0.00,35.7,47.9,60.2
2024-05-12,0.00,37.8,52.4,67.0
2024-05-13,0.00,40.0,57.0,73.9
2024-05-14,0.00,46.9,63.4,79.9
2024-05-15,0.00,45.7,61.0,76.3
2024-05-16,0.00,43.2,57.0,70.9
2024-05-17,0.00,42.5,60.2,78.0
2024-05-18,0.00,47.1,63.7,80.3
2024-05-19,0.00,51.9,65.0,78.2
2024-05-20,0.00,50.8,64.1,77.4
2024-05-21,0.00,36.4,53.4,70.3
2024-05-22,0.00,32.7,47.2,61.7
2024-05-23,0.00,37.0,55.0,73.1
2024-05-24,0.00,34.3,48.0,61.7
2024-05-25,0.07,39.5,53.5,67.5
2024-05-26,0.20,36.4,47.5,58.6
2024-05-27,0.00,39.0,55.4,71.8
2024-05-28,0.00,45.5,62.4,79.4
2024-05-29,0.00,45.5,63.7,81.9
2024-05-30,0.00,49.4,66.5,83.7
2024-05-31,0.00,49.7,63.5,77.3
2024-06-01,0.00,46.9,62.5,78.2
2024-06-02,0.00,51.5,67.8,84.2
2024-06-03,0.00,51.7,66.3,80.9
2024-06-04,0.00,50.4,65.0,79.6
2024-06-05,0.00,49.6,64.6,79.6
2024-06-06,0.00,52.9,70.9,88.9
2024-06-07,0.00,60.8,77.1,93.5
2024-06-08,0.03,56.7,73.6,90.6
2024-06-09,0.00,57.9,73.4,89.0
2024-06-10,0.00,56.7,73.7,90.6
2024-06-11,0.00,55.7,72.6,89.5
2024-06-12,0.00,55.7,73.4,91.2
2024-06-13,0.00,57.0,76.3,95.5
2024-06-14,0.00,61.4,78.5,95.5
2024-06-15,0.00,55.9,71.4,86.9
2024-06-16,0.00,56.8,73.4,90.0
2024-06-17,0.00,60.9,75.6,90.3
2024-06-18,0.00,45.5,66.1,86.8
2024-06-19,0.00,43.8,58.0,72.3
2024-06-20,0.00,52.0,68.1,84.2
2024-06-21,0.02,60.1,75.8,91.5
2024-06-22,0.05,54.9,67.7,80.4
2024-06-23,0.00,57.6,73.1,88.5
2024-06-24,0.00,61.2,77.0,92.8
2024-06-25,0.00,62.4,77.8,93.2
2024-06-26,0.00,64.0,80.0,96.0
2024-06-27,0.27,61.4,77.0,92.6
2024-06-28,0.53,59.2,69.9,80.5
2024-06-29,0.00,58.5,71.3,84.1
2024-06-30,0.01,61.9,75.1,88.3
2024-07-01,0.00,62.0,76.7,91.4
2024-07-02,0.00,60.5,74.8,89.0
2024-07-03,0.00,53.7,69.0,84.2
2024-07-04,0.00,53.3,70.7,88.2
2024-07-05,0.00,54.4,70.1,85.8
2024-07-06,0.00,55.4,72.1,88.9
2024-07-07,0.00,53.4,71.6,89.7
2024-07-08,0.00,58.5,73.7,88.9
2024-07-09,0.00,58.0,74.6,91.3
2024-07-10,0.00,59.5,76.9,94.2
2024-07-11,0.00,60.7,79.4,98.1
2024-07-12,0.00,62.2,80.9,99.6
2024-07-13,0.00,65.1,82.4,99.8
2024-07-14,0.00,66.1,82.7,99.3
2024-07-15,0.04,62.6,78.9,95.2
2024-07-16,0.00,61.9,77.9,94.0
2024-07-17,0.05,59.7,75.3,91.0
2024-07-18,0.00,60.2,77.5,94.8
2024-07-19,0.00,62.8,77.2,91.7
2024-07-20,0.00,61.8,77.5,93.3
2024-07-21,0.00,64.3,77.6,90.9
2024-07-22,0.00,65.6,78.6,91.7
2024-07-23,0.00,59.4,75.6,91.8
2024-07-24,0.00,60.5,77.2,94.0
2024-07-25,0.00,66.5,82.3,98.2
2024-07-26,0.07,62.2,78.4,94.5
2024-07-27,0.00,60.2,76.4,92.5
2024-07-28,0.02,58.5,75.6,92.7
2024-07-29,0.00,53.1,73.1,93.0
2024-07-30,0.00,54.2,73.3,92.3
2024-07-31,0.00,54.6,73.4,92.2
2024-08-01,0.00,57.4,76.1,94.7
2024-08-02,0.00,63.2,80.7,98.3
2024-08-03,0.00,63.5,81.3,99.1
2024-08-04,0.00,65.7,80.8,95.8
2024-08-05,0.03,61.0,76.1,91.2
2024-08-06,0.02,61.4,77.5,93.5
2024-08-07,0.00,64.6,80.7,96.9
2024-08-08,0.00,64.5,80.6,96.6
2024-08-09,0.01,61.0,75.6,90.2
